,1332.T,1332.T,1332.T,1332.T,1332.T,1332.T,1605.T,1605.T,1605.T,1605.T,1605.T,1605.T,1333.T,1333.T,1333.T,1333.T,1333.T,1333.T
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2022-10-17 09:00:00+09:00,543.0,544.0,541.0,541.0,541.0,0,1471.0,1472.0,1455.0,1463.0,1463.0,0,2420.0,2432.0,2408.0,2410.0,2410.0,0
2022-10-17 10:00:00+09:00,541.0,544.0,541.0,542.0,542.0,91000,1464.0,1466.0,1458.0,1461.0,1461.0,1580400,2411.0,2417.0,2409.0,2409.0,2409.0,10500
2022-10-17 11:00:00+09:00,542.0,543.0,542.0,543.0,543.0,0,1460.0,1463.0,1460.0,1461.0,1461.0,0,2410.0,2411.0,2407.0,2407.0,2407.0,0
2022-10-17 12:00:00+09:00,543.0,543.0,541.0,541.0,541.0,359800,1465.0,1467.0,1463.0,1466.0,1466.0,6579500,2406.0,2409.0,2399.0,2399.0,2399.0,113100
2022-10-17 13:00:00+09:00,540.0,541.0,540.0,541.0,541.0,36300,1467.0,1470.0,1464.0,1470.0,1470.0,885000,2401.0,2402.0,2397.0,2399.0,2399.0,15800
2022-10-17 14:00:00+09:00,541.0,542.0,540.0,540.0,540.0,67100,1469.0,1476.0,1469.0,1474.0,1474.0,1015000,2398.0,2398.0,2386.0,2386.0,2386.0,30700
2022-10-18 09:00:00+09:00,542.0,542.0,538.0,540.0,540.0,177300,1466.0,1474.0,1453.0,1460.0,1460.0,3407200,2393.0,2401.0,2389.0,2401.0,2401.0,0
2022-10-18 10:00:00+09:00,540.0,541.0,539.0,540.0,540.0,108900,1460.0,1462.0,1455.0,1455.0,1455.0,1223100,2400.0,2409.0,2399.0,2402.0,2402.0,44100
2022-10-18 11:00:00+09:00,540.0,542.0,540.0,542.0,542.0,0,1455.0,1458.0,1452.0,1456.0,1456.0,0,2401.0,2404.0,2400.0,2402.0,2402.0,0
2022-10-18 12:00:00+09:00,542.0,543.0,541.0,543.0,543.0,445100,1457.0,1472.0,1457.0,1470.0,1470.0,6847400,2402.0,2406.0,2402.0,2406.0,2406.0,59800
2022-10-18 13:00:00+09:00,543.0,544.0,543.0,543.0,543.0,119100,1471.0,1473.0,1466.0,1469.0,1469.0,789100,2405.0,2410.0,2399.0,2400.0,2400.0,13700
2022-10-18 14:00:00+09:00,544.0,544.0,541.0,541.0,541.0,208500,1468.0,1472.0,1467.0,1470.0,1470.0,1061300,2399.0,2404.0,2397.0,2399.0,2399.0,19400
2022-10-19 09:00:00+09:00,545.0,551.0,543.0,549.0,549.0,388000,1466.0,1467.0,1447.0,1457.0,1457.0,3120800,2400.0,2416.0,2396.0,2410.0,2410.0,23200
2022-10-19 10:00:00+09:00,549.0,549.0,544.0,544.0,544.0,377100,1457.0,1463.0,1452.0,1459.0,1459.0,1295300,2409.0,2418.0,2407.0,2412.0,2412.0,14600
2022-10-19 11:00:00+09:00,545.0,546.0,544.0,545.0,545.0,0,1459.0,1462.0,1457.0,1460.0,1460.0,0,2413.0,2418.0,2410.0,2416.0,2416.0,0
2022-10-19 12:00:00+09:00,544.0,545.0,544.0,544.0,544.0,896100,1458.0,1462.0,1457.0,1459.0,1459.0,5568300,2417.0,2420.0,2415.0,2417.0,2417.0,53200
2022-10-19 13:00:00+09:00,544.0,545.0,544.0,544.0,544.0,109900,1458.0,1459.0,1454.0,1458.0,1458.0,845400,2417.0,2418.0,2409.0,2411.0,2411.0,10600
2022-10-19 14:00:00+09:00,544.0,548.0,544.0,547.0,547.0,316300,1458.0,1459.0,1456.0,1458.0,1458.0,1007100,2411.0,2415.0,2408.0,2415.0,2415.0,19700
2022-10-20 09:00:00+09:00,540.0,543.0,538.0,539.0,539.0,432500,1471.0,1492.0,1464.0,1486.0,1486.0,3942600,2401.0,2404.0,2391.0,2393.0,2393.0,22000
2022-10-20 10:00:00+09:00,540.0,541.0,538.0,539.0,539.0,151200,1486.0,1487.0,1480.0,1480.0,1480.0,1153500,2394.0,2399.0,2393.0,2399.0,2399.0,10300
2022-10-20 11:00:00+09:00,539.0,540.0,538.0,539.0,539.0,0,1481.0,1487.0,1479.0,1486.0,1486.0,0,2399.0,2399.0,2388.0,2389.0,2389.0,0
2022-10-20 12:00:00+09:00,539.0,540.0,537.0,540.0,540.0,866700,1487.0,1487.0,1480.0,1481.0,1481.0,6129200,2388.0,2389.0,2379.0,2380.0,2380.0,65600
2022-10-20 13:00:00+09:00,539.0,541.0,539.0,541.0,541.0,165700,1480.0,1487.0,1478.0,1483.0,1483.0,1109100,2380.0,2394.0,2380.0,2392.0,2392.0,20700
2022-10-20 14:00:00+09:00,541.0,541.0,540.0,540.0,540.0,148300,1483.0,1486.0,1481.0,1483.0,1483.0,1350800,2391.0,2393.0,2384.0,2387.0,2387.0,27100
2022-10-21 09:00:00+09:00,541.0,543.0,538.0,540.0,540.0,237800,1474.0,1485.0,1474.0,1478.0,1478.0,1446100,2374.0,2381.0,2357.0,2363.0,2363.0,57300
2022-10-21 10:00:00+09:00,539.0,541.0,539.0,540.0,540.0,133800,1478.0,1482.0,1477.0,1480.0,1480.0,941500,2363.0,2363.0,2353.0,2358.0,2358.0,23700
2022-10-21 11:00:00+09:00,540.0,541.0,539.0,541.0,541.0,0,1479.0,1483.0,1478.0,1482.0,1482.0,0,2358.0,2360.0,2355.0,2357.0,2357.0,0
2022-10-21 12:00:00+09:00,540.0,541.0,539.0,539.0,539.0,464200,1485.0,1488.0,1483.0,1486.0,1486.0,3186300,2355.0,2361.0,2354.0,2354.0,2354.0,115400
2022-10-21 13:00:00+09:00,539.0,540.0,538.0,539.0,539.0,92300,1485.0,1489.0,1485.0,1487.0,1487.0,521400,2354.0,2356.0,2347.0,2349.0,2349.0,38500
2022-10-21 14:00:00+09:00,539.0,539.0,537.0,537.0,537.0,133900,1488.0,1488.0,1481.0,1482.0,1482.0,738600,2349.0,2353.0,2347.0,2347.0,2347.0,40400
2022-10-24 09:00:00+09:00,539.0,539.0,534.0,535.0,535.0,279200,1493.0,1494.0,1486.0,1489.0,1489.0,1451300,2356.0,2357.0,2331.0,2332.0,2332.0,63000
2022-10-24 10:00:00+09:00,535.0,536.0,533.0,535.0,535.0,214600,1489.0,1496.0,1487.0,1491.0,1491.0,1001200,2333.0,2345.0,2331.0,2345.0,2345.0,17300
2022-10-24 11:00:00+09:00,535.0,535.0,534.0,534.0,534.0,0,1491.0,1493.0,1489.0,1491.0,1491.0,0,2345.0,2345.0,2341.0,2342.0,2342.0,0
2022-10-24 12:00:00+09:00,534.0,534.0,533.0,533.0,533.0,601100,1488.0,1490.0,1486.0,1488.0,1488.0,3480000,2341.0,2341.0,2336.0,2337.0,2337.0,99300
2022-10-24 13:00:00+09:00,533.0,534.0,532.0,533.0,533.0,105500,1488.0,1489.0,1484.0,1487.0,1487.0,793000,2337.0,2338.0,2330.0,2338.0,2338.0,0
2022-10-24 14:00:00+09:00,533.0,534.0,532.0,533.0,533.0,148700,1487.0,1488.0,1483.0,1484.0,1484.0,945900,2339.0,2339.0,2331.0,2331.0,2331.0,148500
2022-10-25 09:00:00+09:00,537.0,541.0,535.0,539.0,539.0,417400,1483.0,1505.0,1475.0,1502.0,1502.0,2284400,2344.0,2350.0,2321.0,2333.0,2333.0,64000
2022-10-25 10:00:00+09:00,538.0,539.0,537.0,539.0,539.0,134900,1501.0,1503.0,1496.0,1503.0,1503.0,685800,2332.0,2337.0,2331.0,2334.0,2334.0,13900
2022-10-25 11:00:00+09:00,540.0,541.0,539.0,541.0,541.0,0,1502.0,1503.0,1501.0,1502.0,1502.0,0,2335.0,2339.0,2334.0,2338.0,2338.0,0
2022-10-25 12:00:00+09:00,542.0,544.0,540.0,541.0,541.0,721100,1504.0,1513.0,1504.0,1509.0,1509.0,4303800,2343.0,2345.0,2336.0,2340.0,2340.0,99000
