,1333.T,1333.T,1333.T,1333.T,1333.T,1333.T,1605.T,1605.T,1605.T,1605.T,1605.T,1605.T,1332.T,1332.T,1332.T,1332.T,1332.T,1332.T
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,,,,,,,,,,,,,
2022-11-08 09:00:00+09:00,,,,,,,1623.0,1629.0,1621.0,1627.0,1627.0,0.0,507.0,507.0,503.0,504.0,504.0,0.0
2022-11-08 09:01:00+09:00,,,,,,,1626.0,1627.0,1615.0,1617.0,1617.0,152600.0,504.0,504.0,502.0,503.0,503.0,35800.0
2022-11-08 09:02:00+09:00,,,,,,,1616.0,1618.0,1613.0,1615.0,1615.0,62500.0,503.0,503.0,503.0,503.0,503.0,2600.0
2022-11-08 09:03:00+09:00,,,,,,,1615.0,1615.0,1612.0,1614.0,1614.0,52600.0,503.0,504.0,502.0,503.0,503.0,25700.0
2022-11-08 09:04:00+09:00,,,,,,,1613.0,1616.0,1613.0,1615.0,1615.0,46400.0,503.0,503.0,503.0,503.0,503.0,300.0
2022-11-08 09:05:00+09:00,,,,,,,1615.0,1617.0,1614.0,1617.0,1617.0,33400.0,503.0,504.0,503.0,503.0,503.0,5000.0
2022-11-08 09:06:00+09:00,,,,,,,1618.0,1619.0,1615.0,1616.0,1616.0,54100.0,504.0,504.0,503.0,503.0,503.0,600.0
2022-11-08 09:07:00+09:00,,,,,,,1616.0,1616.0,1614.0,1614.0,1614.0,42700.0,503.0,504.0,502.0,503.0,503.0,7900.0
2022-11-08 09:08:00+09:00,,,,,,,1616.0,1616.0,1614.0,1616.0,1616.0,20200.0,503.0,503.0,502.0,502.0,502.0,8900.0
2022-11-08 09:09:00+09:00,2495.0,2495.0,2475.0,2483.0,2483.0,0.0,1616.0,1618.0,1615.0,1617.0,1617.0,26200.0,503.0,503.0,502.0,503.0,503.0,4400.0
2022-11-08 09:10:00+09:00,2479.0,2491.0,2465.0,2479.0,2479.0,29000.0,1617.0,1620.0,1616.0,1619.0,1619.0,86300.0,503.0,503.0,502.0,503.0,503.0,4500.0
2022-11-08 09:11:00+09:00,2480.0,2502.0,2479.0,2491.0,2491.0,44300.0,1617.0,1620.0,1617.0,1620.0,1620.0,33500.0,502.0,502.0,502.0,502.0,502.0,200.0
